;ISIN-код бумаги;Номинал;Доходность;Цена послед.;Дюрация;Лучш. пред;Спрос;Размер купона;Длит. купона;Дата выпл. куп.;НКД;Погашение;До погашения;Оборот;Заявки куп.;Заявки прод.;Общ. предл.;Общ. спрос;Доходность
ОФЗ 46005;RU0002867631;300;5.78;0;267;95.99;94.513;0;0;;0;09.01.2019;267;0;5;8;846;227;#DIV/0!
BCS MICEX;XS1713519012;100000;0;0;0;100.48;101.44;0;0;;0;09.11.2027;3493;0;1;1;10;10;#DIV/0!
Меркурий-1;RU000A0JTD37;1000;340.64;0;0;0;0;0;0;;0;28.11.2019;590;0;0;0;0;0;#DIV/0!
СберБ БО7R;RU000A0ZZ3U1;1000;0;0;0;0;0;0;0;;0;16.05.2021;1125;0;0;0;0;0;#DIV/0!
BCS 09/18;XS1269959034;80000;0;91;0;89.1;90.34;5000;92;10.06.2018;0;10.09.2018;146;72800;19;25;56;20;24.79619565
ДомДен БО1;RU000A0JU8S9;2000000;360.29;0;159;0;49.7;199452.05;182;24.04.2018;191780.82;23.10.2018;189;0;2;0;0;2;19.99999952
АПРИФП БО1;RU000A0ZZ2V1;1000;21.08;98.6;336;98.6;98;44.88;91;12.07.2018;2.47;11.04.2019;359;1909073;7;9;10858;278;18.00131868
ДомДенБ1Р1;RU000A0JXPH0;1000;724680.47;83.97;7;80.5;83.2;44.88;91;24.04.2018;41.42;19.04.2022;1463;2952340;34;128;20822;1736;18.00131868
Экспател01;RU000A0JVQ38;1000;17.47;0;0;104;100;44.88;91;23.05.2018;27.12;22.08.2018;127;0;8;2;29;104;18.00131868
СЗД Б1-1;RU000A0ZYAQ7;1000;16.92;101.65;474;101.12;101.16;14.44;31;26.04.2018;10.25;25.10.2022;1652;944949;19;18;4021;1712;17.00193548
ПКБ 08;RU000A0JVCK6;143.2;1387.89;0;2;100.25;99.01;6.07;91;19.04.2018;5.94;19.04.2018;2;0;5;5;459;2003;17.00188778
ГрузЦ БОП1;RU000A0ZZ0R3;50000;15.75;0;319;102;101.7;698.63;30;02.05.2018;349.32;22.03.2020;705;0;8;4;19;45;16.99999667
СТТ 01;RU000A0JWKY8;1000;11.22;106.5;390;105.84;106.07;85.23;183;21.06.2018;54.96;20.06.2021;1160;134143;15;10;4151;5556;16.99942623
ЛевенгукБ1;RU000A0ZYHW0;1000;15.73;101.7;300;101;101;42.38;91;04.06.2018;20.03;22.11.2027;3506;16237;5;6;1159;419;16.99857143
CBOM 05/25;XS1143363940;100000;0;0;0;0;0;8250;181;26.05.2018;6462.5;26.05.2025;2596;0;0;0;0;0;16.63674033
МаниМенБ1;RU000A0ZYJX4;1000;17.51;100;223;100;99.8;41.14;91;08.06.2018;17.63;04.12.2020;962;100000;18;13;9544;387;16.50120879
СЗД БО-1-2;RU000A0ZZ1F6;1000;16.17;101.91;761;101.5;100.3;13.59;31;07.05.2018;4.82;10.05.2023;1849;45860;8;11;1431;2337;16.00112903
BCS06/20;XS1604405545;350000;0;0;0;101.89;96.1;27923.29;182;26.06.2018;17183.56;26.06.2020;801;0;8;4;6;10;16.00000133
ПолиплБ03;RU000A0JWYK8;1000;11.21;0;24;100.45;99.89;79.78;182;11.05.2018;69.26;05.11.2021;1298;0;7;8;1965;1626;15.99983516
ПолиплБ02;RU000A0JVGR2;250;-5.59;0;0;0;99;19.82;182;06.06.2018;14.38;06.06.2018;50;0;2;0;0;6;15.89956044
КаркадеБ02;RU000A0JWEK0;419;9.95;0;178;99.95;99.33;16.45;91;23.04.2018;15.37;22.04.2019;370;0;15;22;4966;1394;15.74720029
МИндБ 01;RU000A0JVFE2;1000;15.63;0;775;100.8;99.7;77.29;182;29.05.2018;59.45;24.11.2020;952;0;6;8;1819;258;15.50046703
ДОМ.РФ26об;RU000A0JTZF1;1000;5.94;0;0;0;80.01;37.31;89;01.05.2018;31.44;01.11.2029;4216;0;4;0;0;13;15.30129213
ПКБ 07;RU000A0JW2T8;571.6;15.72;0;0;0;85;21.38;91;18.04.2018;21.14;16.01.2019;274;0;5;0;0;62;15.0026146
Волжск2014;RU000A0JV3M2;600;8.18;106.02;306;106.02;106.02;22.44;91;25.04.2018;20.47;24.12.2019;616;1272;20;4;369;419;15.0010989
МгдОбл2014;RU000A0JV3Z4;400;8.11;0;241;106.39;104.55;14.96;91;25.06.2018;3.62;24.12.2018;251;0;17;10;354;1788;15.0010989
ДрктЛиз1P1;RU000A0ZYE96;1000;15.86;100.01;757;100.01;100.42;37.4;91;26.04.2018;33.7;22.10.2020;919;5001;20;8;2474;796;15.0010989
ПКБ БО-01;RU000A0JWWG0;1000;14.18;0;715;103.72;102.7;37.4;91;20.04.2018;36.16;15.10.2021;1277;0;13;7;1268;647;15.0010989
РСХБ БО8;RU000A0JV805;1000;8.52;0;0;0;107;37.4;91;09.05.2018;28.36;29.01.2025;2479;0;3;0;0;246;15.0010989
4фин БО-01;RU000A0ZZ0Q5;1000;0;0;0;0;0;74.79;182;28.09.2018;7.4;24.03.2023;1802;0;0;0;0;0;14.99909341
Держава 03;RU000A0JWB59;1000;14.84;0;0;0;65;74.79;182;21.09.2018;10.27;12.09.2025;2705;0;1;0;0;1;14.99909341
ИнДевелБО1;RU000A0JWCW9;1000;15.56;0;346;0;65;74.79;182;11.10.2018;2.05;02.04.2026;2907;0;1;0;0;1;14.99909341
ОбувьрусБ1;RU000A0JXVY3;1000;9.57;106.48;420;103.03;105.63;74.79;182;18.07.2018;36.99;15.07.2020;820;1006007;24;13;4959;4331;14.99909341
РСГ-ФинБ02;RU000A0JVSA3;1000;10.23;0;154;103.49;101.5;74.79;182;18.09.2018;11.51;18.09.2018;154;0;1;3;2987;2100;14.99909341
СМСФИН БО1;RU000A0ZYXM8;1000;0;0;0;0;0;74.79;182;12.09.2018;13.97;08.03.2023;1786;0;0;0;0;0;14.99909341
ТКБ-С04;RU000A0JWQ45;1000;14.83;0;1092;101.8;98.51;74.79;182;20.08.2018;23.42;14.02.2022;1399;0;5;3;300;121;14.99909341
ЗапСибКБ-2;RU000A0JUP63;10;-4.31;133.37;537;103.69;103.51;0.74;182;14.06.2018;0.5;12.12.2019;604;169523;16;12;46514;21583;14.84065934
ГТЛК БО-06;RU000A0JVWJ6;1000;7.27;103.98;186;103.98;103.98;36.77;91;30.04.2018;31.52;20.10.2025;2743;3119;7;5;16667;3518;14.74840659
АбсолютБC1;RU000A0JWF71;1000;15.02;0;0;0;99.1;72.3;182;27.04.2018;68.33;22.10.2021;1284;0;2;0;0;21;14.49972527
ИнфВотч1P1;RU000A0ZYW94;1000;8.83;0;303;104.99;103.2;36.15;91;04.06.2018;17.08;04.03.2020;687;0;8;5;4939;160;14.49972527
ПолиплП1Б1;RU000A0JXPJ6;1000;0;0;0;0;0;72.3;182;24.04.2018;69.52;18.04.2023;1827;0;0;0;0;0;14.49972527
РСГ-ФинБ10;RU000A0JWLJ7;1000;11.73;0;938;108.75;103;72.3;182;22.06.2018;46.08;18.06.2021;1158;0;10;6;1415;980;14.49972527
РСХБ 06Т1;RU000A0JWMZ1;1000;9.44;0;0;0;110.01;72.3;182;13.07.2018;37.74;17.04.2018;0;0;2;0;0;300;14.49972527
РСХБ 07Т1;RU000A0JWN22;1000;9.44;0;0;0;110.01;72.3;182;16.07.2018;36.55;17.04.2018;0;0;5;0;0;845;14.49972527
СКИБ C01;RU000A0JXKQ2;1000;15.01;0;1408;0;100.01;72.3;182;07.09.2018;15.49;01.09.2023;1963;0;1;0;0;25;14.49972527
УралКапБ-1;RU000A0JUBH6;1000;0;0;0;0;0;72.3;182;31.05.2018;0;24.11.2022;1682;0;0;0;0;0;14.49972527
ТранФинМ28;RU000A0JVU73;1000;0;0;0;0;0;73.49;185;07.10.2018;4.77;07.10.2018;173;0;0;0;0;0;14.49937838
ЯмалСтИн 1;RU000A0JWKL5;1000;7.75;0;926;120.4;105.01;35.53;91;27.06.2018;7.81;24.04.2021;1103;0;4;1;4602;78;14.25104396
iУОМЗ БО-3;RU000A0JW1T0;1000;-12.11;0;240;105;100;71.05;182;26.06.2018;43.73;25.12.2018;252;0;6;2;134;136;14.24903846
ПИК БО-4;RU000A0JVPN2;1000;7.82;102.1;122;101.95;101.46;71.05;182;17.08.2018;23.42;08.08.2025;2670;97955;18;12;8675;3884;14.24903846
ПИК БО-5;RU000A0JVPP7;1000;8.44;101.9;122;101;101.5;71.05;182;17.08.2018;23.42;08.08.2025;2670;6108;5;5;31184;3018;14.24903846
ПИК БО-6;RU000A0JVPQ5;1000;9.86;101.45;122;100;101.45;71.05;182;17.08.2018;23.42;08.08.2025;2670;1015;4;2;25015;3015;14.24903846
РСХБ 08Т1;RU000A0JWV63;1000;9.44;129;2025;128.52;128.88;71.05;182;03.10.2018;5.08;17.04.2018;0;4101447;20;20;21763;6798;14.24903846
ТомскАдм 5;RU000A0JV2H4;550;7.28;0;372;107;106.2;19.2;91;12.06.2018;7.38;15.12.2019;607;0;14;12;12582;2717;14.001998
АВТОБАН-Ф1;RU000A0JWM49;1000;8.76;0;403;106.5;105.5;69.81;182;28.06.2018;42.19;24.06.2021;1164;0;1;1;2000;2000;14.00035714
ЖКИнвБО01;RU000A0ZYSS5;1000;14.26;100.45;889;100.45;100.1;69.81;182;04.09.2018;16.11;05.03.2021;1053;293314;4;3;1501;522;14.00035714
ПионерБ1P1;RU000A0JWX95;1000;16.28;99.92;14;99.88;99.5;69.81;182;01.05.2018;64.44;29.10.2019;560;23978;19;24;13581;2405;14.00035714
ПолиплБ01;RU000A0JUK84;1000;9.85;102;175;102;101.05;69.81;182;09.10.2018;2.68;09.04.2019;357;13260;10;1;81;363;14.00035714
Оренб35003;RU000A0JVM81;1000;8.1;0;1488;144.99;125.39;34.9;91;12.07.2018;1.92;03.07.2025;2634;0;7;4;173;2051;13.99835165
ДОК-15 БО1;RU000A0ZYVY7;1000;14.64;100;1979;100;100.2;34.65;91;04.06.2018;16.38;21.02.2028;3597;1000;2;0;0;11;13.89807692
Удмурт2015;RU000A0JVSY3;1000;8.55;110.08;654;110;110.13;34.41;91;21.06.2018;9.83;17.09.2020;884;1101;13;6;8414;129;13.80181319
ОбувьрусБ6;RU000A0JWB83;2000000;0;0;0;0;0;68810.96;91;25.06.2018;16635.62;22.03.2021;1070;0;0;0;0;0;13.80000022
ОбувьрусБ7;RU000A0JX8E6;2000000;0;0;0;0;0;68810.96;91;26.04.2018;62005.48;20.01.2022;1374;0;0;0;0;0;13.80000022
ДелоПортс1;RU000A0JVZB6;1000;8.73;0;209;103;101;68.81;182;25.05.2018;54.44;14.11.2025;2768;0;1;34;51448;10;13.79980769
Мордовия02;RU000A0JVV49;800;6.95;0;479;109.55;108;27.42;91;18.04.2018;27.12;14.10.2020;911;0;23;19;1727;3485;13.74766484
Волгогр 08;RU000A0JVVR1;800;7.12;0;472;108.55;107.54;27.29;91;11.05.2018;20.09;19.10.2020;916;0;18;18;4464;401;13.68248626
НижгорОб10;RU000A0JVPR3;900;7.39;108.5;504;107;108.5;30.63;91;27.05.2018;17.17;23.08.2020;859;977;11;10;69511;651;13.6507326
ВостЭксБ-2;RU000A0JTMJ1;1000;178.64;75;114;75;70;67.81;182;09.08.2018;25.34;09.08.2018;114;7500;4;6;14033;130;13.59925824
БалтЛизБО2;RU000A0JVRM0;625;-1.15;0;121;0;100.2;21.04;91;07.06.2018;9.25;02.09.2021;1234;0;2;0;0;310;13.50259341
КаркадеБ03;RU000A0JXTH2;751;11.5;102.59;387;101.2;102.01;25.28;91;13.06.2018;9.44;10.06.2020;785;1927269;26;18;5860;2447;13.50170469
БалтЛизБО3;RU000A0JVLH3;1000;10.08;0;480;105;100.01;33.66;91;05.07.2018;4.44;01.07.2021;1171;0;8;2;36;40;13.50098901
ЛидерИнБП1;RU000A0JX3A5;1000;11.97;0;70;100.94;100;67.32;182;26.06.2018;41.42;21.12.2021;1344;0;4;2;6065;5517;13.50098901
НаукСвяз01;RU000A0JTX74;1000;14.02;0;0;0;75;33.66;91;10.05.2018;25.15;10.05.2018;23;0;2;0;0;2;13.50098901
ПионерБ1P2;RU000A0JXNJ1;1000;11.63;101;177;101;100.55;67.32;182;11.10.2018;1.85;09.04.2020;723;28366;15;7;1159;97;13.50098901
ПионерБО2;RU000A0JWK66;1000;-13.48;0;51;104;98;33.66;91;07.06.2018;14.79;03.06.2021;1143;0;2;1;325;2;13.50098901
РСГ-ФинБ01;RU000A0JUAG0;1000;10.37;0;35;100.45;97.03;67.32;182;22.05.2018;54.37;11.11.2025;2765;0;3;5;303;85;13.50098901
РСГ-ФинБ7;RU000A0JXN13;1000;11.67;0;342;101;100.51;67.32;182;05.10.2018;4.07;01.04.2022;1445;0;5;5;2284;2648;13.50098901
ТрансФБО39;RU000A0JVHH1;1000;10.34;0;944;109.9;100;67.32;182;13.06.2018;46.23;04.06.2025;2605;0;2;0;0;112;13.50098901
ХКФинБ1P1;RU000A0JX3X7;1000;13.12;0;72;101.16;100.01;67.32;182;28.06.2018;40.68;26.12.2019;618;0;2;5;7753;4;13.50098901
ЭлемЛизБО3;RU000A0JUN08;1000;12.91;0;42;100.01;97.01;33.66;91;29.05.2018;18.12;28.05.2019;406;0;3;7;1838;12;13.50098901
МДС кл.А1;RU000A0JVF98;1000;0;0;0;0;0;33.53;91;30.06.2018;6.26;10.05.2030;4406;0;0;0;0;0;13.44884615
ПЕРЕСВЕТБ4;RU000A0JVCA7;1000;16.28;0;8;100.02;99.6;33.4;92;25.04.2018;30.49;25.04.2018;8;0;10;12;11085;3324;13.25108696
РСГ-ФинБ3;RU000A0ZYA74;1000;12.83;0;773;103.24;102.01;66.07;182;14.09.2018;11.62;11.09.2020;878;0;17;11;7772;14563;13.2503022
iКОМКОРПБ1;RU000A0JX3H0;1000;5.61;0;0;105;99.02;65.34;180;21.06.2018;41.75;13.12.2019;605;0;2;1;5000;25;13.2495
МДС кл.А2;RU000A0JVLA8;1000;-14.42;0;0;0;66;33.03;91;30.06.2018;6.17;19.06.2030;4446;0;1;0;0;1;13.2482967
iУОМЗ БО-1;RU000A0JWK82;1000;10.47;0;384;105;100.02;65.32;182;08.06.2018;46.66;07.06.2019;416;0;7;3;19219;158;13.09989011
ПКТ 01;RU000A0JW0S4;1000;10.28;107;825;106.94;105.52;65.32;182;19.06.2018;42.71;09.12.2025;2793;463305;4;9;85107;10160;13.09989011
ПКТ 02;RU000A0JW5E3;1000;10.85;106;884;105;105.51;65.32;182;17.08.2018;21.53;06.02.2026;2852;33212;6;13;77109;1222;13.09989011
ВЭБлизБ03;RU000A0JVKC6;500;10.52;0;0;0;90.01;32.64;182;26.06.2018;20.08;23.06.2020;798;0;9;0;0;58;13.09186813
ВерЦемЗав1;RU000A0JTWT9;1000;13.47;0;21;100.2;100.01;32.41;91;08.05.2018;24.93;04.05.2021;1113;0;4;3;753;1551;12.99961538
ДрктЛиз1P2;RU000A0ZZ0D3;1000;13.65;99.99;903;99.99;99.85;32.41;91;28.06.2018;6.77;25.03.2021;1073;1000;4;6;740;330;12.99961538
ПИК БО-1;RU000A0JWP38;1000;9.25;105.09;481;104.13;104.11;64.82;182;13.09.2018;11.75;03.09.2026;3061;41748;6;5;9186;5140;12.99961538
ПИК БО-2;RU000A0JWSU9;1000;0;0;0;0;0;64.82;182;13.09.2018;11.75;03.09.2026;3061;0;0;0;0;0;12.99961538
ПИК БО-3;RU000A0JWSV7;1000;0;0;0;0;0;64.82;182;13.09.2018;11.75;03.09.2026;3061;0;0;0;0;0;12.99961538
ПИК БО-7;RU000A0JWP46;1000;9.75;104.1;440;104.1;104.6;64.82;182;03.08.2018;26.36;24.07.2026;3020;1968541;6;17;66385;28217;12.99961538
ПИК БО-П01;RU000A0JXK40;1000;9.39;0;620;107.19;106.41;64.82;182;31.08.2018;16.38;25.02.2022;1410;0;10;29;5407;5705;12.99961538
ПропфинБО1;RU000A0JVUB7;1000;13.33;0;793;101.99;100.2;64.82;182;05.10.2018;3.92;02.10.2020;899;0;2;1;1;15;12.99961538
ТМК БО-5;RU000A0JWCM0;1000;12.23;101.01;347;103.99;102.51;64.82;182;10.10.2018;2.14;01.04.2026;2906;5051;12;17;13545;3688;12.99961538
ФГУП ГЦСС1;RU000A0JWR02;1000;9.97;0;460;104.5;103.84;64.82;182;23.08.2018;19.23;22.08.2019;492;0;16;17;2340;672;12.99961538
ФПКГарИнP1;RU000A0JXRT1;1000;12.34;0;373;101;0;64.82;182;28.05.2018;50.22;27.05.2019;405;0;0;2;49;0;12.99961538
ХорусФ БО1;RU000A0JUS37;1000;0;0;0;0;0;64.82;182;31.07.2018;27.42;30.07.2019;469;0;0;0;0;0;12.99961538
ХорусФ БО2;RU000A0JUSJ6;1000;0;0;0;0;0;64.82;182;16.08.2018;21.73;15.08.2019;485;0;0;0;0;0;12.99961538
ХорусФин01;RU000A0JUH89;1000;12.08;0;312;0;65;64.82;182;05.09.2018;14.6;06.03.2019;323;0;1;0;0;1;12.99961538
БалтЛизБО1;RU000A0JV8U4;1000;11.5;0;867;0;64.01;32.29;91;18.05.2018;21.29;12.02.2021;1032;0;2;0;0;2;12.95148352
ЕврХолдФ 8;RU000A0JVKK9;1000;9.05;104.5;403;104.47;103.5;64.57;182;27.06.2018;39.38;18.06.2025;2619;7315;10;11;38461;7158;12.94947802
RUS-28;XS0088543193;1000;4.92;0;0;164.9998;155.0001;63.75;180;24.06.2018;2492.4735;24.06.2028;3721;0;2;1;10;6;12.92708333
БелугаБО-5;RU000A0JWFE0;1000;7.96;0;422;106;72;64.32;182;02.05.2018;59.02;29.04.2020;743;0;2;1;20;2;12.89934066
РСХБ 27;RU000A0JW1V6;1000;8.06;0;0;0;116;32.09;91;26.06.2018;7.4;21.12.2021;1344;0;3;0;0;112;12.87126374
РСХБ 28;RU000A0JW1Z7;1000;9.74;0;0;0;110.7;32.09;91;27.06.2018;7.05;22.12.2021;1345;0;5;0;0;68;12.87126374
ЛенОбл2014;RU000A0JV2J0;500;5.61;0;0;0;102.02;16.02;91;12.06.2018;6.16;07.12.2021;1330;0;5;0;0;99;12.85120879
РУСАЛБрБ01;RU000A0JWDN6;1000;13.97;99.4;353;99.01;99.11;64.07;182;16.10.2018;0;07.04.2026;2912;1048040;46;31;65421;2968;12.8492033
КраснодКр5;RU000A0JVZE0;100;6.57;0;216;104.51;103.31;3.19;91;29.05.2018;1.72;27.11.2018;224;0;14;9;652;3685;12.79505495
iРОСНАНО 7;RU000A0JW1G7;1000;6.85;0;1330;0;101.02;63.58;182;22.06.2018;40.52;16.12.2022;1704;0;7;0;0;159;12.75093407
АРАГОН об;RU000A0JXQQ9;1000;13.21;0;0;0;65;31.79;91;09.05.2018;24.1;04.05.2022;1478;0;2;0;0;2;12.75093407
ТелХолПБО1;RU000A0JWMM9;1000;9.14;0;411;104.9;104.01;63.58;182;04.07.2018;36.33;03.07.2019;442;0;8;3;40408;4137;12.75093407
ФПКГарИнP3;RU000A0ZYL55;1000;12.84;0;547;100.25;0;63.58;182;20.06.2018;41.22;16.12.2020;974;0;0;2;17055;0;12.75093407
ПГК 01;RU000A0JVT76;1000;6.59;0;161;103.71;0;63.33;182;25.09.2018;7.31;16.09.2025;2709;0;0;2;9488;0;12.7007967
ПГК 05;RU000A0JVUL6;1000;7.31;0;348;105.15;0;63.33;182;11.10.2018;1.74;02.10.2025;2725;0;0;2;5655;0;12.7007967
КрасЯрКр10;RU000A0JVS10;1000;5.82;0;357;106.49;105.1;31.66;91;12.06.2018;12.18;10.09.2019;511;0;13;10;262;3182;12.69879121
